ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap
1021,[C@H]1(CN)N=C(CN1)[C@H](N)C(=O)O,154.293,-4.217630819,2.25445199
1031,[C@@H]1(CN)NCN=C1[C@H](N)C(=O)O,154.293,-4.139204672,2.278588889
1033,[C@@H]1(CNCN=C1[C@H](N)C(=O)O)N,154.293,-4.075739236,2.12104345
1039,C1CNC(=NCN1)[C@@H](N)C(=O)O,155.381,-3.758447906,0.158161811
1049,C1N=C(CNCN1)[C@H](N)C(=O)O,155.381,-3.655661945,1.650774549
1051,[C@H]1([C@H](N)C(=NC1)[C@@H](N)C(=O)O)N,153.205,-4.652116047,2.337315067
1061,C(=N)(NCC(=C)[C@@H](N)C(=O)O)N,158.275,-3.332499411,2.257358949
1063,C(=N)(NC/C=C/[C@H](N)C(=O)O)N,157.96,-3.201722026,2.273508434
1069,C1N=C(NCN1C)[C@@H](N)C(=O)O,155.522,-3.588393542,0.812470121
1087,C1=CN[C@H](N1)[C@@H](N)[C@H](N)C(=O)O,154.076,-4.47146351,-7.245229514
1091,C1(=CN[C@@H](N1)[C@H](N)C(=O)O)CN,154.05,-5.052151284,2.374325659
1093,C\1(=C\N)/CN[C@H](N1)[C@H](N)C(=O)O,154.05,-4.815195755,1.544772185
1097,C1(=CN[C@H](NC1)[C@@H](N)C(=O)O)N,154.05,-4.817190082,2.54769547
1103,C\1(=C\N)/NC[C@H](N1)[C@@H](N)C(=O)O,154.05,-4.532582226,2.201337507
1109,C1(=CNCN1)[C@@H](N)[C@@H](N)C(=O)O,154.05,-4.973015356,1.847886445
1117,C\1(=C/N)/NCN[C@H]1[C@@H](N)C(=O)O,154.05,-4.95339329,1.571191053
1123,C1=CN[C@@](CN)(N1)[C@H](N)C(=O)O,153.726,-4.364833429,2.343921683
1129,C1=CN[C@@H](NCN1)[C@@H](N)C(=O)O,155.164,-3.958884892,2.38105267
1151,C1(=CN[C@H]([C@H]1N)[C@H](N)C(=O)O)N,152.962,-5.564028453,1.860696071
1153,C1(=C[C@@H](N)[C@H](N1)[C@H](N)C(=O)O)N,152.962,-4.601077642,2.113801534
1163,C1=C[C@@]([C@@H](N1)N)(N)[C@@H](N)C(=O)O,152.638,-4.782363127,1.955904322
1171,C1(=C[C@@](CN1)(N)[C@H](N)C(=O)O)N,152.612,-4.690956592,2.005570564
1181,C1(=CN[C@](C)(N1)[C@H](N)C(=O)O)N,153.485,-3.817983618,2.351798142
1187,[C@H]12CN[C@H](N1)[C@H](N2)[C@H](N)C(=O)O,150.561,-3.957734102,2.219887718
1193,[C@H]12CN[C@](CN1)(N2)[C@@H](N)C(=O)O,150.211,-3.81768805,2.188806755
