ID,SMILES,vdW_vol,XLogP
N74,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C=1C=2C(=CC(O)=C(Br)C2)OC(=O)C1,351.3287953,0.228
N73,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C=1C=2C(OC(=O)C1)=CC(O)=CC2,332.0451764,-0.57
N82,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1(COCC#C)N=N1,295.803681,-2.075
N92,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1[C@]2([C@@]1(CCC#CCC2)[H])[H],324.4838724,-0.022
LS40,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1=C(N(=O)=O)C=CC=C1,297.3566734,-0.9
LS68,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1=C(N=[N+]=[N-])C=CC=C1,299.1332817,-0.744
N71,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1=CC(N=[N+]=[N-])=CC=C1,299.1332817,-0.744
LS60,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1=CC=CC=C1,271.4159185,-0.792
N77,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1C(C)=C1,252.9968666,-2.112
N89,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1C2CC(C1)C=C2,292.5283618,-0.474
N78,C(OC(NCCCC[C@@H](C(O)=O)N)=O)C1CC2(C=C2)C1,275.2323772,-0.516
N20,C(OC(NCSC[C@@H](C(O)=O)N)=O)(C)C1=C(N(=O)=O)C=C2C(=C1)OCO2,321.0896921,-1.346
N21,C(OC(NCSCC[C@@H](C(O)=O)N)=O)(C)C1=C(N(=O)=O)C=C2C(=C1)OCO2,338.3856768,-0.988
LS39,C(OC[C@@H](C(O)=O)N)C1=C(N(=O)=O)C=C(OC)C(OC)=C1,263.1946293,-2.273
LS38,C(OC[C@@H](C(O)=O)N)C1=C(N(=O)=O)C=CC=C1,211.0222067,-1.835
N104,C(OC1=CC=C(C[C@@H](C(O)=O)N)C=C1)C=2C=C3C(=CC2)OCO3,280.211504,-0.265
LS41,C(OC1=CC=C(C[C@@H](C(O)=O)N)C=C1)C2=C(N(=O)=O)C=CC=C2,283.6322796,0.138
LS10,C(SC(C)C)(=O)C1=CC=C(C[C@@H](C(O)=O)N)C=C1,252.841971,-0.331
N17,C(SC[C@@H](C(O)=O)N)C1=C(N(=O)=O)C=C(OC)C(OC)=C1,272.9134267,-1.312
LS37,C(SC[C@@H](C(O)=O)N)C1=C(N(=O)=O)C=CC=C1,220.741004,-0.874
LS14,C1=CC(=CC=C1C[C@@H](C(=O)O)N)C#N,182.0150679,-1.656
LS13,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N,169.9920006,-2.196
N42,C1=CC=C2C=C(C=CC2=C1)C[C@@H](C(=O)O)N,199.6498028,-0.113
LS27,C1=CC=C2C=C(C=CC2=C1)NC[C@@H](C(=O)O)N,210.646563,-0.094
LS47,CC(=O)C1=CC2=C(C=C1)C=C(C=C2)NC[C@@H](C(=O)O)N,251.3923003,-0.217
LS65,CC(C)(C)OC(=O)NCCCC[C@@H](C(=O)O)N,250.6937994,-1.202
N103,CC(COc1ccc(C[C@H](N)C(=O)O)cc1)c2ccccc2[N+](=O)[O-],318.2242489,0.589
N105,CC(Oc1ccc(C[C@H](N)C(=O)O)cc1)c2ccc3OCOc3c2,297.5074887,0.261
N58,CN1C(N2N=C(C(NCCCC[C@@H](C(O)=O)N)=O)N=N2)=CC=C1,274.4205908,-1.481
N47,N(=N/C1=C(F)C=CC=C1F)\C2=C(F)C=C(CO)C=C2F,223.490113,3.973
N48,N(=N/C1=CC(C=C)=CC=C1)\C2=CC=C(C[C@@H](C(O)=O)N)C=C2,282.9178857,1.676
N46,N(=N/C1=CC=C(C[C@@H](C(O)=O)N)C=C1)\C2=C(F)C=CC=C2F,263.0974928,1.061
LS43,N(=N/C1=CC=CC=C1)\C2=CC=C(C[C@@H](C(O)=O)N)C=C2,250.9623751,0.739
N45,N(=NC1=CC=CC=C1)C2=CC=C(C[C@@H](C(O)=O)N)C=C2,250.9623751,0.739
LS42,N(=O)(=O)C1=C(C[C@@H](C(O)=O)N)C=CC=C1,184.9359953,-1.487
LS11,N(C([C@H](CS)N)=O)C1=CC=C(C[C@@H](C(O)=O)N)C=C1,257.5395068,-2.454
N43,N(C[C@@H](C(O)=O)N)C1=CC2=C(C=C(C(C)=O)C=C2)C=C1,251.3923003,-0.217
N68,N(CCCC[C@H](NC(C)=O)C(O)=O)C1=C(N(=O)=O)C=C(N(=O)=O)C=C1,314.5072016,2.369
LS4,N[C@@H](CC1=CC=C(OCC=C)C=C1)C(O)=O,217.0369623,-0.849
LS8,N[C@@H](Cc1ccc(cc1)B(O)O)C(O)=O,212.4539232,-2.354
LS7,N[C@@H](Cc1ccc(cc1)N=[N+]=[N-])C(=O)O,186.7126037,-1.331
N88,N[C@@H](CCCCNC(=O)OC1C2CCC\C=C\CCC12)C(=O)O,327.1203311,0.624
N86,N[C@@H](CCCCNC(=O)OC1CCC\C=C\CC1)C(=O)O,304.8848205,-0.052
N85,N[C@@H](CCCCNC(=O)OC1CCCCC\C=C\1)C(=O)O,304.8848205,0.214
N87,N[C@@H](CCCCNC(=O)OC1COCOC\C=C\1)C(=O)O,287.8733047,-2.252
N84,N[C@@H](CCCCNC(=O)OCc1cccc(c1)C2(N=N2)C(F)(F)F)C(=O)O,331.2111673,1.046
LS1,N[C@H](C(=O)O)CC1=CC=C(C=C1)C(C)=O,199.7409777,-1.502
N65,O(C(NCCCC[C@@H](C(O)=O)N)=O)[C@H]1[C@H](N=[N+]=[N-])CCC1,283.3506886,-1.37
N90,O(C(NCCCC[C@@H](C(O)=O)N)=O)C1[C@@H]2C[C@H](C1)C=C2,275.2323772,-1.302
LS62,O(C(NCCCC[C@@H](C(O)=O)N)=O)C1CCCC1,255.6333253,-1.243
N91,O(C(NCCCC[C@@H](C(O)=O)N)=O)C1CCCCCC#C1,302.2483618,-0.058
LS50,O(S(=O)(=O)O)C1=CC=C(C[C@@H](C(O)=O)N)C=C1,212.6651713,-3.631
N106,O(S(F)(=O)=O)C1=CC=C(C[C@@H](C(O)=O)N)C=C1,209.9425034,-2.857
N75,O=C1OC=2C=C(O)C=CC2C(=C1)CCOC(=O)NCCCCC(N)C(=O)O,349.341161,-0.412
LS35,OC=1C2=C(C=C(C[C@@H](C(O)=O)N)C=N2)C=CC1,202.1408051,-1.682
LS45,S(NC[C@@H](C(O)=O)N)(=O)(=O)C=1C2=C(C(N(C)C)=CC=C2)C=CC1,292.32477,-1.111
