ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap,Type
887,C(=N\C=C)(/NC[C@@H](N)C(=O)O)\N,159.237,-2.985533377,2.175950344,Computational
907,C(=C)(C(=N)[C@H](N)[C@@H](N)C(=O)O)N,157.187,-4.764170279,1.858903785,Computational
911,C1(=N)N[C@@H](CN1)C[C@H](N)C(=O)O,154.445,-3.500162459,2.188637816,Computational
919,C1=NCN[C@H](N1C)[C@H](N)C(=O)O,155.548,-3.285111951,1.954122241,Computational
929,C1=N[C@H](NCN1C)[C@@H](N)C(=O)O,155.548,-3.296408576,1.951327984,Computational
937,C1=NCN(C)[C@H](N1)[C@H](N)C(=O)O,155.548,-3.195919189,1.954789339,Computational
941,C1=N[C@@H](N(CN1)C)[C@H](N)C(=O)O,155.548,-3.224490456,1.95116042,Computational
947,C1=NCNCN1C[C@H](N)C(=O)O,155.763,-3.648017327,1.975883287,Computational
953,C1=NCN(CN1)C[C@H](N)C(=O)O,155.763,-3.838411879,2.228991286,Computational
967,C\1(=N)/CN[C@@H](NC1)[C@H](N)C(=O)O,154.445,-4.45637937,-0.535149146,Computational
971,C1(=N)NCC[C@H](N1)[C@H](N)C(=O)O,154.445,-3.487177722,2.048513116,Computational
977,C\1(=N)/NC[C@@H](CN1)[C@H](N)C(=O)O,154.445,-3.557892216,2.179360539,Computational
983,C1(=N)NC[C@](C)(N1)[C@H](N)C(=O)O,153.88,-3.266605662,2.038070068,Computational
991,C1(=N)N(C)[C@@H](CN1)[C@H](N)C(=O)O,154.586,-3.284802842,2.032580043,Computational
997,C1(=N)N(CCN1)C[C@@H](N)C(=O)O,154.8,-3.345803747,2.042804387,Computational
1009,C1(=NC[C@@H](N1C)[C@@H](N)C(=O)O)N,154.434,-3.3405991,2.033155532,Computational
1013,C1(=N[C@@H](CN1C)[C@@H](N)C(=O)O)N,154.434,-3.339891327,2.028829533,Computational
1019,C(=N)(N[C@@H](C=C)[C@H](N)C(=O)O)N,158.3,-2.922483862,2.17643556,Computational
1021,[C@H]1(CN)N=C(CN1)[C@H](N)C(=O)O,154.293,-4.217630819,2.25445199,Computational
1031,[C@@H]1(CN)NCN=C1[C@H](N)C(=O)O,154.293,-4.139204672,2.278588889,Computational
1033,[C@@H]1(CNCN=C1[C@H](N)C(=O)O)N,154.293,-4.075739236,2.12104345,Computational
1039,C1CNC(=NCN1)[C@@H](N)C(=O)O,155.381,-3.758447906,0.158161811,Computational
1049,C1N=C(CNCN1)[C@H](N)C(=O)O,155.381,-3.655661945,1.650774549,Computational
1051,[C@H]1([C@H](N)C(=NC1)[C@@H](N)C(=O)O)N,153.205,-4.652116047,2.337315067,Computational
1061,C(=N)(NCC(=C)[C@@H](N)C(=O)O)N,158.275,-3.332499411,2.257358949,Computational
1063,C(=N)(NC/C=C/[C@H](N)C(=O)O)N,157.96,-3.201722026,2.273508434,Computational
1069,C1N=C(NCN1C)[C@@H](N)C(=O)O,155.522,-3.588393542,0.812470121,Computational
1087,C1=CN[C@H](N1)[C@@H](N)[C@H](N)C(=O)O,154.076,-4.47146351,-7.245229514,Computational
1091,C1(=CN[C@@H](N1)[C@H](N)C(=O)O)CN,154.05,-5.052151284,2.374325659,Computational
1093,C\1(=C\N)/CN[C@H](N1)[C@H](N)C(=O)O,154.05,-4.815195755,1.544772185,Computational
1097,C1(=CN[C@H](NC1)[C@@H](N)C(=O)O)N,154.05,-4.817190082,2.54769547,Computational
1103,C\1(=C\N)/NC[C@H](N1)[C@@H](N)C(=O)O,154.05,-4.532582226,2.201337507,Computational
1109,C1(=CNCN1)[C@@H](N)[C@@H](N)C(=O)O,154.05,-4.973015356,1.847886445,Computational
1117,C\1(=C/N)/NCN[C@H]1[C@@H](N)C(=O)O,154.05,-4.95339329,1.571191053,Computational
1123,C1=CN[C@@](CN)(N1)[C@H](N)C(=O)O,153.726,-4.364833429,2.343921683,Computational
1129,C1=CN[C@@H](NCN1)[C@@H](N)C(=O)O,155.164,-3.958884892,2.38105267,Computational
1151,C1(=CN[C@H]([C@H]1N)[C@H](N)C(=O)O)N,152.962,-5.564028453,1.860696071,Computational
1153,C1(=C[C@@H](N)[C@H](N1)[C@H](N)C(=O)O)N,152.962,-4.601077642,2.113801534,Computational
1163,C1=C[C@@]([C@@H](N1)N)(N)[C@@H](N)C(=O)O,152.638,-4.782363127,1.955904322,Computational
1171,C1(=C[C@@](CN1)(N)[C@H](N)C(=O)O)N,152.612,-4.690956592,2.005570564,Computational
1181,C1(=CN[C@](C)(N1)[C@H](N)C(=O)O)N,153.485,-3.817983618,2.351798142,Computational
1187,[C@H]12CN[C@H](N1)[C@H](N2)[C@H](N)C(=O)O,150.561,-3.957734102,2.219887718,Computational
1193,[C@H]12CN[C@](CN1)(N2)[C@@H](N)C(=O)O,150.211,-3.81768805,2.188806755,Computational
1201,[C@H]12CN(CN1)[C@H](N2)[C@@H](N)C(=O)O,150.917,-3.540842195,2.326312075,Computational
1213,[C@@H]12NCN(CN1)[C@@H]2[C@@H](N)C(=O)O,150.917,-3.659677102,-9.211746409,Computational
1217,C1N2CN[C@](C2)(N1)[C@@H](N)C(=O)O,150.567,-3.456767349,0.616305922,Computational
1223,C1=C(NCNCN1)[C@H](N)C(=O)O,155.138,-4.500728696,2.327776907,Computational
1229,C1=C(N[C@H](CN)N1)[C@H](N)C(=O)O,154.05,-5.022799737,2.324638657,Computational
1231,C1(=C(NC[C@@H]1N)[C@H](N)C(=O)O)N,152.937,-6.018928204,1.363280326,Computational
1237,C1(=C(CN[C@H]1N)[C@@H](N)C(=O)O)N,152.937,-5.516575592,2.288180198,Computational
1249,C1(=C[C@H](N)C(=O)O)NCNCN1,155.138,-3.520094767,2.324244081,Computational
1259,C1(=C(NCN1)[C@@H](N)C(=O)O)CN,154.025,-5.524130609,2.323254117,Computational
1277,C1(=C(NCNC1)[C@@H](N)C(=O)O)N,154.025,-5.519163978,2.351714439,Computational
1279,C1=CN[C@@H](NC=N1)[C@H](N)C(=O)O,149.22,-3.437548933,1.887187507,Computational
1283,C1=CN[C@@H](N=CN1)[C@@H](N)C(=O)O,149.22,-3.479917989,1.883458537,Computational
1289,c1(c[nH]cn1)NC[C@@H](N)C(=O)O,149.194,-3.478924756,1.993675257,Computational
1291,c1(cnc[nH]1)NC[C@@H](N)C(=O)O,149.194,-3.567676915,1.966638073,Computational
1297,c1(ncc[nH]1)NC[C@@H](N)C(=O)O,149.194,-3.334433912,1.958073553,Computational
1301,C1(=CN[C@@H](N=C1)[C@H](N)C(=O)O)N,148.107,-4.619383491,1.75028696,Computational
1303,c1(c[nH]cn1)[C@@H](N)[C@H](N)C(=O)O,148.107,-4.137054814,1.51403562,Computational
1307,c1(cnc[nH]1)[C@H](N)[C@@H](N)C(=O)O,148.107,-4.4154899,1.511530273,Computational
1319,C1(=NC=C[C@H](N1)[C@H](N)C(=O)O)N,148.107,-3.301369787,1.967874432,Computational
1321,C1(=N[C@H](C=CN1)[C@H](N)C(=O)O)N,148.107,-3.302217347,1.963484474,Computational
1327,c1(ncc[nH]1)[C@H](N)[C@@H](N)C(=O)O,148.107,-4.131990693,1.521635719,Computational
1361,C1=C[C@](N=CN1)(N)[C@@H](N)C(=O)O,147.783,-3.629592682,1.872770639,Computational
1367,C1(=C)N=C(N[C@@H]1[C@@H](N)C(=O)O)N,148.421,-3.38432559,1.963319843,Computational
1373,C1(=C)NC(=N[C@H]1[C@@H](N)C(=O)O)N,148.421,-3.38524493,1.958351119,Computational
1381,c1(c([nH]cn1)C[C@@H](N)C(=O)O)N,148.081,-3.868727382,1.971140346,Computational
1399,c1(c([nH]cn1)N)C[C@@H](N)C(=O)O,148.081,-4.054203454,1.943796108,Computational
1409,c1(c[nH]c(n1)C[C@@H](N)C(=O)O)N,148.081,-3.53845758,1.980963731,Computational
1423,c1(c[nH]c(n1)N)C[C@@H](N)C(=O)O,148.081,-3.452390054,1.931480296,Computational
1427,c1(cnc([nH]1)C[C@H](N)C(=O)O)N,148.081,-4.070108357,1.938184228,Computational
1429,c1(cnc([nH]1)N)C[C@H](N)C(=O)O,148.081,-3.515801634,1.938313648,Computational
1433,C1=N[C@H]2N[C@@H]1N[C@@H]2[C@@H](N)C(=O)O,144.617,-3.92488738,1.568189952,Computational
1439,C1=N[C@]2(CN[C@@H]1N2)[C@@H](N)C(=O)O,144.267,-3.742939485,1.964957107,Computational
1447,C1=N[C@H]2CN[C@@]1(N2)[C@@H](N)C(=O)O,144.267,-3.512320894,1.546244925,Computational
1451,c1(=N)n(cc[nH]1)C[C@H](N)C(=O)O,148.614,-2.988113688,1.972878266,Computational
1453,c1(cn(cn1)C[C@H](N)C(=O)O)N,148.462,-3.569330163,1.9742641,Computational
1459,c1(cncn1C[C@H](N)C(=O)O)N,148.462,-3.640644643,1.951622385,Computational
1471,c1(nccn1C[C@H](N)C(=O)O)N,148.462,-2.921893896,1.941317565,Computational
1481,C1(=N)NC=C[C@H](N1)[C@H](N)C(=O)O,148.258,-3.247688627,1.970161142,Computational
1483,C1=CN[C@@](C=N)(N1)[C@@H](N)C(=O)O,147.934,-4.268140032,1.97350049,Computational
1487,C1(=C)NC(=N)N[C@@H]1[C@@H](N)C(=O)O,148.572,-3.327590286,1.962895333,Computational
1489,c1(c[nH]c(=N)[nH]1)C[C@H](N)C(=O)O,148.232,-3.364266355,2.111606347,Computational
1493,C1=N[C@@H]2CN1[C@H](N2)[C@H](N)C(=O)O,144.973,-3.53742706,2.16424155,Computational
1499,C1=N[C@H]2NCN1[C@@H]2[C@@H](N)C(=O)O,144.973,-3.769609903,2.150553467,Computational
1511,C1=N[C@@]2(CN1CN2)[C@@H](N)C(=O)O,144.623,-3.463245067,1.877858439,Computational
1523,C\1(=C\[C@H](N)C(=O)O)/N=CNCN1,149.194,-3.002297533,2.010997963,Computational
1531,C\1(=C\[C@H](N)C(=O)O)/NC=NCN1,149.194,-3.05180278,2.011195931,Computational
1543,C1=CNC(=NCN1)[C@@H](N)C(=O)O,149.194,-3.866886063,0.761843903,Computational
1549,C1=NC=C(NCN1)[C@@H](N)C(=O)O,149.194,-4.019237256,2.004228283,Computational
1553,C1=NCNC(=CN1)[C@H](N)C(=O)O,149.194,-4.093301319,2.003612796,Computational
1559,C1=NCNC=C(N1)[C@H](N)C(=O)O,149.194,-3.961358961,1.901650507,Computational
1567,C1=NC(=CNCN1)[C@H](N)C(=O)O,149.194,-3.940729824,1.897380655,Computational
